Date;Year;Month;Area;Area.Type;Variable;Variable.Type;Generation (GWh);YoY change (%);YoY change (GWh);Cumul. Generation (GWh);Cumul. YoY change (%);Cumul. YoY change (GWh);;
ene-18;2018;1;Poland;EU Country;Production;Production;13573;;;13573;;;;
ene-18;2018;1;Poland;EU Country;Net imports;Net imports;611;;;611;;;;
ene-18;2018;1;Poland;EU Country;Statistical difference;Statistical difference;1230;;;1230;;;;
ene-18;2018;1;Poland;EU Country;Gas;Fossil;736;;;736;;;;
ene-18;2018;1;Poland;EU Country;Hard Coal;Fossil;6859;;;6859;;;;
ene-18;2018;1;Poland;EU Country;Lignite;Fossil;3737;;;3737;;;;
ene-18;2018;1;Poland;EU Country;Other fossil;Fossil;208;;;208;;;;
ene-18;2018;1;Poland;EU Country;Bioenergy;Renewables;79;;;79;;;;
ene-18;2018;1;Poland;EU Country;Hydro;Renewables;227;;;227;;;;
ene-18;2018;1;Poland;EU Country;Solar;Renewables;4;;;4;;;;
ene-18;2018;1;Poland;EU Country;Wind;Renewables;1722;;;1722;;;;
ene-18;2018;1;Portugal;EU Country;Demand;Demand;4700;;;4700;;;;
ene-18;2018;1;Portugal;EU Country;Production;Production;4667;;;4667;;;;
ene-18;2018;1;Portugal;EU Country;Net imports;Net imports;-25;;;-25;;;;
ene-18;2018;1;Portugal;EU Country;Statistical difference;Statistical difference;58;;;58;;;;
ene-18;2018;1;Portugal;EU Country;Gas;Fossil;1523;;;1523;;;;
ene-18;2018;1;Portugal;EU Country;Hard Coal;Fossil;1035;;;1035;;;;
ene-18;2018;1;Portugal;EU Country;Other fossil;Fossil;107;;;107;;;;
ene-18;2018;1;Portugal;EU Country;Bioenergy;Renewables;156;;;156;;;;
ene-18;2018;1;Portugal;EU Country;Hydro;Renewables;444;;;444;;;;
ene-18;2018;1;Portugal;EU Country;Solar;Renewables;46;;;46;;;;
ene-18;2018;1;Portugal;EU Country;Wind;Renewables;1356;;;1356;;;;
ene-18;2018;1;Romania;EU Country;Demand;Demand;5625;;;5625;;;;
ene-18;2018;1;Romania;EU Country;Production;Production;5986;;;5986;;;;
ene-18;2018;1;Romania;EU Country;Net imports;Net imports;-357;;;-357;;;;
ene-18;2018;1;Romania;EU Country;Statistical difference;Statistical difference;-4;;;-4;;;;
ene-18;2018;1;Romania;EU Country;Gas;Fossil;1236;;;1236;;;;
ene-18;2018;1;Romania;EU Country;Hard Coal;Fossil;151;;;151;;;;
ene-18;2018;1;Romania;EU Country;Lignite;Fossil;1554;;;1554;;;;
ene-18;2018;1;Romania;EU Country;Bioenergy;Renewables;37;;;37;;;;
ene-18;2018;1;Romania;EU Country;Hydro;Renewables;1252;;;1252;;;;
ene-18;2018;1;Romania;EU Country;Solar;Renewables;51;;;51;;;;
ene-18;2018;1;Romania;EU Country;Wind;Renewables;670;;;670;;;;
ene-18;2018;1;Romania;EU Country;Nuclear;Nuclear;1035;;;1035;;;;
ene-18;2018;1;Slovakia;EU Country;Demand;Demand;2677;;;2677;;;;
ene-18;2018;1;Slovakia;EU Country;Production;Production;2690;;;2690;;;;
ene-18;2018;1;Slovakia;EU Country;Net imports;Net imports;70;;;70;;;;
ene-18;2018;1;Slovakia;EU Country;Statistical difference;Statistical difference;-83;;;-83;;;;
ene-18;2018;1;Slovakia;EU Country;Gas;Fossil;133;;;133;;;;
ene-18;2018;1;Slovakia;EU Country;Hard Coal;Fossil;46;;;46;;;;
ene-18;2018;1;Slovakia;EU Country;Lignite;Fossil;136;;;136;;;;
ene-18;2018;1;Slovakia;EU Country;Other fossil;Fossil;365;;;365;;;;
ene-18;2018;1;Slovakia;EU Country;Bioenergy;Renewables;33;;;33;;;;
ene-18;2018;1;Slovakia;EU Country;Hydro;Renewables;524;;;524;;;;
ene-18;2018;1;Slovakia;EU Country;Other renewables;Renewables;28;;;28;;;;
ene-18;2018;1;Slovakia;EU Country;Solar;Renewables;12;;;12;;;;
ene-18;2018;1;Slovakia;EU Country;Wind;Renewables;0;;;0;;;;
ene-18;2018;1;Slovakia;EU Country;Nuclear;Nuclear;1412;;;1412;;;;
ene-18;2018;1;Slovenia;EU Country;Demand;Demand;1288;;;1288;;;;
ene-18;2018;1;Slovenia;EU Country;Production;Production;1327;;;1327;;;;
ene-18;2018;1;Slovenia;EU Country;Net imports;Net imports;-46;;;-46;;;;
ene-18;2018;1;Slovenia;EU Country;Statistical difference;Statistical difference;7;;;7;;;;
ene-18;2018;1;Slovenia;EU Country;Gas;Fossil;38;;;38;;;;
ene-18;2018;1;Slovenia;EU Country;Lignite;Fossil;356;;;356;;;;
ene-18;2018;1;Slovenia;EU Country;Other fossil;Fossil;0;;;0;;;;
ene-18;2018;1;Slovenia;EU Country;Bioenergy;Renewables;8;;;8;;;;
ene-18;2018;1;Slovenia;EU Country;Hydro;Renewables;391;;;391;;;;
ene-18;2018;1;Slovenia;EU Country;Solar;Renewables;9;;;9;;;;
ene-18;2018;1;Slovenia;EU Country;Wind;Renewables;0;;;0;;;;
ene-18;2018;1;Slovenia;EU Country;Nuclear;Nuclear;517;;;517;;;;
ene-18;2018;1;Slovenia;EU Country;Waste;Waste;8;;;8;;;;
ene-18;2018;1;Spain;EU Country;Demand;Demand;22713;;;22713;;;;
ene-18;2018;1;Spain;EU Country;Production;Production;21670;;;21670;;;;
ene-18;2018;1;Spain;EU Country;Net imports;Net imports;1340;;;1340;;;;
ene-18;2018;1;Spain;EU Country;Statistical difference;Statistical difference;-298;;;-298;;;;
ene-18;2018;1;Spain;EU Country;Gas;Fossil;4355;;;4355;;;;
ene-18;2018;1;Spain;EU Country;Hard Coal;Fossil;2801;;;2801;;;;
ene-18;2018;1;Spain;EU Country;Lignite;Fossil;275;;;275;;;;
ene-18;2018;1;Spain;EU Country;Other fossil;Fossil;263;;;263;;;;
ene-18;2018;1;Spain;EU Country;Bioenergy;Renewables;243;;;243;;;;
ene-18;2018;1;Spain;EU Country;Hydro;Renewables;2526;;;2526;;;;
ene-18;2018;1;Spain;EU Country;Other renewables;Renewables;71;;;71;;;;
ene-18;2018;1;Spain;EU Country;Solar;Renewables;534;;;534;;;;
ene-18;2018;1;Spain;EU Country;Wind;Renewables;5276;;;5276;;;;
ene-18;2018;1;Spain;EU Country;Nuclear;Nuclear;5093;;;5093;;;;
ene-18;2018;1;Spain;EU Country;Waste;Waste;233;;;233;;;;
ene-18;2018;1;Sweden;EU Country;Demand;Demand;14432;;;14432;;;;
ene-18;2018;1;Sweden;EU Country;Production;Production;15754;;;15754;;;;
ene-18;2018;1;Sweden;EU Country;Net imports;Net imports;-1310;;;-1310;;;;
ene-18;2018;1;Sweden;EU Country;Statistical difference;Statistical difference;-12;;;-12;;;;
ene-18;2018;1;Sweden;EU Country;Bioenergy;Renewables;1091;;;1091;;;;
ene-18;2018;1;Sweden;EU Country;Hydro;Renewables;6876;;;6876;;;;
ene-18;2018;1;Sweden;EU Country;Wind;Renewables;1571;;;1571;;;;
ene-18;2018;1;Sweden;EU Country;Nuclear;Nuclear;6216;;;6216;;;;
feb-18;2018;2;Austria;EU Country;Demand;Demand;5632;;;11603;;;;
feb-18;2018;2;Austria;EU Country;Production;Production;4268;;;9487;;;;
feb-18;2018;2;Austria;EU Country;Net imports;Net imports;963;;;1557;;;;
feb-18;2018;2;Austria;EU Country;Statistical difference;Statistical difference;401;;;559;;;;
feb-18;2018;2;Austria;EU Country;Gas;Fossil;1231;;;2374;;;;
feb-18;2018;2;Austria;EU Country;Hard Coal;Fossil;219;;;435;;;;
feb-18;2018;2;Austria;EU Country;Other fossil;Fossil;15;;;31;;;;
feb-18;2018;2;Austria;EU Country;Bioenergy;Renewables;211;;;448;;;;
feb-18;2018;2;Austria;EU Country;Hydro;Renewables;2030;;;4927;;;;
feb-18;2018;2;Austria;EU Country;Other renewables;Renewables;0;;;0;;;;
feb-18;2018;2;Austria;EU Country;Solar;Renewables;49;;;83;;;;
feb-18;2018;2;Austria;EU Country;Wind;Renewables;447;;;1047;;;;
feb-18;2018;2;Austria;EU Country;Waste;Waste;67;;;142;;;;
feb-18;2018;2;Belgium;EU Country;Demand;Demand;7543;;;15556;;;;
feb-18;2018;2;Belgium;EU Country;Production;Production;6891;;;13881;;;;
feb-18;2018;2;Belgium;EU Country;Net imports;Net imports;636;;;1644;;;;
feb-18;2018;2;Belgium;EU Country;Statistical difference;Statistical difference;16;;;31;;;;
feb-18;2018;2;Belgium;EU Country;Gas;Fossil;1827;;;3341;;;;
feb-18;2018;2;Belgium;EU Country;Hard Coal;Fossil;0;;;0;;;;
feb-18;2018;2;Belgium;EU Country;Other fossil;Fossil;484;;;994;;;;
feb-18;2018;2;Belgium;EU Country;Bioenergy;Renewables;234;;;487;;;;
feb-18;2018;2;Belgium;EU Country;Hydro;Renewables;27;;;48;;;;
feb-18;2018;2;Belgium;EU Country;Solar;Renewables;195;;;249;;;;
feb-18;2018;2;Belgium;EU Country;Wind;Renewables;613;;;1394;;;;
feb-18;2018;2;Belgium;EU Country;Nuclear;Nuclear;3338;;;7013;;;;
feb-18;2018;2;Belgium;EU Country;Waste;Waste;174;;;354;;;;
feb-18;2018;2;Bulgaria;EU Country;Demand;Demand;3512;;;7406;;;;
feb-18;2018;2;Bulgaria;EU Country;Production;Production;3874;;;7946;;;;
feb-18;2018;2;Bulgaria;EU Country;Net imports;Net imports;-348;;;-493;;;;
feb-18;2018;2;Bulgaria;EU Country;Statistical difference;Statistical difference;-14;;;-48;;;;
feb-18;2018;2;Bulgaria;EU Country;Gas;Fossil;218;;;444;;;;
feb-18;2018;2;Bulgaria;EU Country;Hard Coal;Fossil;49;;;111;;;;
feb-18;2018;2;Bulgaria;EU Country;Lignite;Fossil;1626;;;3430;;;;
feb-18;2018;2;Bulgaria;EU Country;Bioenergy;Renewables;25;;;50;;;;
feb-18;2018;2;Bulgaria;EU Country;Hydro;Renewables;342;;;561;;;;
feb-18;2018;2;Bulgaria;EU Country;Solar;Renewables;46;;;110;;;;
feb-18;2018;2;Bulgaria;EU Country;Wind;Renewables;149;;;252;;;;
feb-18;2018;2;Bulgaria;EU Country;Nuclear;Nuclear;1415;;;2982;;;;
feb-18;2018;2;Bulgaria;EU Country;Waste;Waste;3;;;6;;;;
feb-18;2018;2;Cyprus;EU Country;Demand;Demand;312;;;687;;;;
feb-18;2018;2;Cyprus;EU Country;Production;Production;335;;;736;;;;
feb-18;2018;2;Cyprus;EU Country;Net imports;Net imports;0;;;0;;;;
feb-18;2018;2;Cyprus;EU Country;Statistical difference;Statistical difference;-23;;;-48;;;;
feb-18;2018;2;Cyprus;EU Country;Other fossil;Fossil;320;;;700;;;;
